"hgnc" "EntrezGene"
"230" "AC093690.1" NA
"231" "WRAP53" 55135
"232" "TRIM28" 10155
"233" "TRAIP" 10293
"234" "ASGR1" 432
"235" "COL26A1" 136227
"236" "ZNF471" 57573
"237" "REEP2" 51308
"238" "NAT14" 57106
"239" "NFKBIE" 4794
"240" "UBE2Q2P1" 388165
"241" "KMO" 8564
"242" "PRRG3" 79057
"243" "ZNF469" 84627
"244" "WNT5A" 7474
"245" "USP24" 23358
"246" "ZEB1" 6935
"247" "TENM3" 55714
"248" "HMGA1" 3159
"249" "SLC29A4" 222962
"250" "PPIL1" 51645
"251" "MGMT" 4255
"252" "CSPG4P11" 100631254
"253" "SAC3D1" 29901
"254" "PGRMC1" 10857
"255" "KIF2C" 11004
"256" "UBE2S" 27338
"257" "APLP1" 333
"258" "PKMYT1" 9088
"259" "ORAOV1P1" 100873907
"260" "ZNF888" 388559
"261" "RP11-526I2.5" NA
"262" "TCEAL5" 340543
"263" "TMUB2" 79089
"264" "PLGRKT" 55848
"265" "RRM1" 6240
"266" "RORA" 6095
"267" "FBN3" 84467
"268" "THOC6" 79228
"269" "NEK2" 4751
"270" "HIPK3" 10114
"271" "RAD51" 5888
"272" "HEBP1" 50865
"273" "TCEAL7" 56849
"274" "ZBED6CL" 113763
"275" "MCM2" 4171
"276" "SHANK1" 50944
"277" "GJA4" 2701
"278" "DYNC1I1" 1780
"279" "NRGN" 4900
"280" "SLIT3" 6586
"281" "CCNA1" 8900
"282" "SECISBP2L" 9728
"283" "AQP9" 366
"284" "NUP93" 9688
"285" "RIMKLBP1" 54031
"286" "HIST1H2BH" 8345
"287" "PDCD6IP" 10015
"288" "SDSL" 113675
"289" "E2F2" 1870
"290" "CEP78" 84131
"291" "ST6GALNAC3" 256435
"292" "KCNMB4" 27345
"293" "TACSTD2" 4070
"294" "LSM5" 23658
"295" "TRANK1" 9881
"296" "CKAP4" 10970
"297" "POLD1" 5424
"298" "RP11-44K6.3" NA
"299" "MFAP2" 4237
"300" "EDAR" 10913
"301" "HHIP" 64399
"302" "RIMKLB" 57494
"303" "OGT" 8473
"304" "MELK" 9833
"305" "DACT2" 168002
"306" "PPP2R4" NA
"307" "RP11-510D19.1" NA
"308" "C4orf48" 401115
"309" "AC004540.5" NA
"310" "NSG1" 27065
"311" "NRP2" 8828
"312" "COL7A1" 1294
"313" "RP13-104F24.3" NA
"314" "CRLF1" 9244
"315" "STMN1" 3925
"316" "ETV1" 2115
"317" "STRA13" NA
"318" "UBN2" 254048
"319" "RHBDD3" 25807
"320" "PLK2" 10769
"321" "GDPD1" 284161
"322" "PLEKHH2" 130271
"323" "DLC1" 10395
"324" "APLN" 8862
"325" "VPS13C" 54832
"326" "KLF8" 11279
"327" "RBP7" 116362
"328" "RPA3" 6119
"329" "FEN1" 2237
"330" "ICAM1" 3383
"331" "KIF23" 9493
"332" "OGDHL" 55753
"333" "WDR76" 79968
"334" "TYMS" 7298
"335" "RECQL4" 9401
"336" "ST8SIA2" 8128
"337" "AP1G1" 164
"338" "SMARCB1" 6598
"339" "EPHA2" 1969
"340" "SLC2A11" 66035
"341" "XXYLT1" 152002
"342" "ATP8B3" 148229
"343" "IL6ST" 3572
"344" "VPS13D" 55187
"345" "TENM4" 26011
"346" "QDPR" 5860
"347" "C16orf80" NA
"348" "NPM3" 10360
"349" "TGIF2" 60436
"350" "UBE2SP1" 246719
"351" "RNFT2" 84900
"352" "CDK1" 983
"353" "SSH3" 54961
"354" "CACNA1G-AS1" 253962
"355" "PTCH2" 8643
"356" "RCN1" 5954
"357" "IGHG1" 3500
"358" "ATP1B3" 483
"359" "RNU6-831P" 106481443
"360" "UBE2C" 11065
"361" "ZNF337" 26152
"362" "KLK1" 3816
"363" "CNIH3" 149111
"364" "RPS6KA5" 9252
"365" "HS6ST2" 90161
"366" "KIF9" 64147
"367" "IDO2" 169355
"368" "MCM3" 4172
"369" "WDR62" 284403
"370" "RP11-448G15.3" NA
"371" "WIPF3" 644150
"372" "PLAU" 5328
"373" "MGLL" 11343
"374" "PGD" 5226
"375" "MLANA" 2315
"376" "TMPO-AS1" 100128191
"377" "TJP1" 7082
"378" "NABP1" 64859
"379" "MCM10" 55388
"380" "RAD51AP1" 10635
"381" "GPR183" 1880
"382" "KIF22" 3835
"383" "LMNB2" 84823
"384" "ESCO2" 157570
"385" "CHAF1A" 10036
"386" "MMP3" 4314
"387" "HMGA2" 8091
"388" "STAG3L5P" 101735302
"389" "AC073218.2" NA
"390" "AC005943.5" NA
"391" "DBN1" 1627
"392" "NETO2" 81831
"393" "PRDM8" 56978
"394" "ZCCHC12" 170261
"395" "RGPD8" 727851
"396" "IQGAP3" 128239
"397" "CAMTA1" 23261
"398" "ALDH16A1" 126133
"399" "CDKN3" 1033
"400" "PLEKHM1P" NA
"401" "GCLC" 2729
"402" "PPP1CC" 5501
"403" "DIAPH3" 81624
"404" "GSDMA" 284110
"405" "IGHG3" 3502
"406" "FUOM" 282969
"407" "PSTK" 118672
"408" "UQCC2" 84300
"409" "UBE2SP2" 440406
"410" "TPCN1" 53373
"411" "PNMA3" 29944
"412" "MAD2L2" 10459
"413" "FGD4" 121512
"414" "CCNO" 10309
"415" "CENPN" 55839
"416" "NFKBIA" 4792
"417" "NPTX1" 4884
"418" "CAPN3" 825
"419" "CRYBG3" 131544
"420" "CYR61" 3491
"421" "OR1Q1" 158131
"422" "BTRC" 8945
"423" "DPYSL4" 10570
"424" "NUDT1" 4521
"425" "CLIP1" 6249
"426" "RP11-600F24.7" NA
"427" "KIF18A" 81930
"428" "CEP41" 95681
"429" "PRL" 5617
"430" "ELK4" 2005
"431" "SEMA7A" 8482
"432" "BEX1" 55859
"433" "KIAA1467" NA
"434" "EMC10" 284361
"435" "HBEGF" 1839
"436" "PHYHIP" 9796
"437" "NIPSNAP1" 8508
"438" "NDC80" 10403
"439" "MCM7" 4176
"440" "SNRPE" 6635
"441" "SLCO5A1" 81796
"442" "NGFRAP1" NA
"443" "KB-1732A1.1" NA
"444" "RP11-411K7.1" NA
