"hgnc" "EntrezGene"
"2998" "TGFB2" 7042
"2999" "RP11-60L3.1" NA
"3000" "PCBP4" 57060
"3001" "ZADH2" 284273
"3002" "UPF1" 5976
"3003" "HERC2" 8924
"3004" "DDX6" 1656
"3005" "COQ3" 51805
"3006" "AC073046.25" NA
"3007" "PLCXD1" 55344
"3008" "PGM3" 5238
"3009" "OIP5-AS1" 729082
"3010" "MIR181A2HG" 100379345
"3011" "DHX30" 22907
"3012" "ZNF852" 285346
"3013" "AC124789.1" NA
"3014" "HMGN3" 9324
"3015" "CAPN8" 388743
"3016" "CLTA" 1211
"3017" "ANP32E" 81611
"3018" "PYCR1" 5831
"3019" "GOT2" 2806
"3020" "LRRC37A3" 374819
"3021" "RP11-147L13.8" NA
"3022" "COMMD6" 170622
"3023" "SEMA3D" 223117
"3024" "BTBD7" 55727
"3025" "APBA2" 321
"3026" "COX8A" 1351
"3027" "SFTA2" 389376
"3028" "SNF8" 11267
"3029" "RP11-288I21.1" NA
"3030" "SPPL3" 121665
"3031" "RGS10" 6001
"3032" "ABCA1" 19
"3033" "ZKSCAN8" 7745
"3034" "CSRNP3" 80034
"3035" "FBXL5" 26234
"3036" "MAST2" 23139
"3037" "RP11-231C14.4" NA
"3038" "MARCH6" 10299
"3039" "GID4" 79018
"3040" "MINOS1P2" 100289489
"3041" "MMP15" 4324
"3042" "CAPRIN1" 4076
"3043" "PRR26" 414235
"3044" "UPF2" 26019
"3045" "HRSP12" NA
"3046" "SEC22A" 26984
"3047" "NEDD8" 4738
"3048" "C17orf107" 100130311
"3049" "NDUFS3" 4722
"3050" "ARHGEF40" 55701
"3051" "C4orf46" 201725
"3052" "OCIAD2" 132299
"3053" "PTPN23" 25930
"3054" "HLA-L" 3139
"3055" "HDGFRP2" NA
"3056" "GEMIN7" 79760
"3057" "CYP39A1" 51302
"3058" "B4GALT3" 8703
"3059" "APOL2" 23780
"3060" "LRRC42" 115353
"3061" "MOSPD1" 56180
"3062" "RP11-324O2.6" NA
"3063" "DENND2D" 79961
"3064" "PLEKHA8P1" 51054
"3065" "RP11-206L10.9" NA
"3066" "HCG27" 253018
"3067" "CRP" 1401
"3068" "PSORS1C2" 170680
"3069" "BDP1" 55814
"3070" "ADCY2" 108
"3071" "EXT1" 2131
"3072" "HMG20B" 10362
"3073" "SRPK2" 6733
"3074" "ATE1-AS1" 100130887
"3075" "CHD9" 80205
"3076" "GMPSP1" 728564
"3077" "EIF2B3" 8891
"3078" "PCGF3" 10336
"3079" "TRPM3" 80036
"3080" "GATA2" 2624
"3081" "CNN3" 1266
"3082" "ZNF876P" 642280
"3083" "RP11-168E14.1" NA
"3084" "UQCR11" 10975
"3085" "ZNF730" 100129543
"3086" "SOSTDC1" 25928
"3087" "ARL4A" 10124
"3088" "RP3-416H24.1" NA
"3089" "RP11-478C6.4" NA
"3090" "SCO1" 6341
"3091" "MARCH1" 55016
"3092" "CCDC150" 284992
"3093" "ZNF708" 7562
"3094" "AC009133.12" NA
"3095" "RHBDD2" 57414
"3096" "PRR5" 55615
"3097" "SLIT2" 9353
"3098" "NOX5" 79400
"3099" "ADIPOR1" 51094
"3100" "PSMD5" 5711
"3101" "ETV2" 2116
"3102" "COX5A" 9377
"3103" "NUBP2" 10101
"3104" "ELK3" 2004
"3105" "TESK1" 7016
"3106" "ADCY3" 109
"3107" "RNU1-60P" NA
"3108" "SEPT5" 5413
"3109" "MRGPRF" 116535
"3110" "ORM1" 5004
"3111" "PPM1B" 5495
"3112" "HPDL" 84842
"3113" "TRIM56" 81844
"3114" "SSSCA1" 10534
"3115" "KIAA1045" NA
"3116" "SP6" 80320
"3117" "SLC15A4" 121260
"3118" "RBM5" 10181
"3119" "KIF1B" 23095
"3120" "ARIH2OS" 646450
"3121" "RHPN2" 85415
"3122" "RP11-75L1.2" NA
"3123" "EFNB1" 1947
"3124" "RP11-393N4.2" NA
"3125" "PJA2" 9867
"3126" "INCENP" 3619
"3127" "KRBA1" 84626
"3128" "PAXIP1-AS2" 100132707
"3129" "CSE1L" 1434
"3130" "LNPEP" 4012
"3131" "ASPA" 443
"3132" "ABCA7" 10347
"3133" "KRT10" 3858
"3134" "TTC37" 9652
"3135" "LSM7" 51690
"3136" "MYD88" 4615
"3137" "CERS2" 29956
"3138" "ACP1" 52
"3139" "MCAT" 27349
"3140" "FTSJ1" 24140
"3141" "GTF2A2" 2958
"3142" "ARID4A" 5926
"3143" "EXOSC9" 5393
"3144" "RALGAPA2" 57186
"3145" "F2R" 2149
"3146" "CYB561D2" 11068
"3147" "SLC6A12" 6539
"3148" "ARFGEF1" 10565
"3149" "NUDT8" 254552
"3150" "MKLN1" 4289
"3151" "HSPE1P3" 100507046
"3152" "SPG21" 51324
"3153" "PSMB3" 5691
"3154" "FAM183A" 440585
"3155" "EEFSEC" 60678
"3156" "ZNF441" 126068
"3157" "HS2ST1" 9653
"3158" "MTMR4" 9110
"3159" "KIAA2018" NA
"3160" "SUN1" 23353
"3161" "AKIP1" 56672
"3162" "LINC00087" NA
"3163" "GRAMD3" NA
"3164" "ANP32C" 23520
"3165" "RSPH9" 221421
"3166" "AC007405.4" NA
"3167" "NTAN1" 123803
"3168" "BACH2" 60468
"3169" "HEATR3" 55027
"3170" "ZDHHC5" 25921
"3171" "METTL13" NA
"3172" "ADAM1A" 8759
"3173" "ELMOD1" 55531
"3174" "RP11-403I13.8" NA
"3175" "APEH" 327
"3176" "FLNB-AS1" 105377105
"3177" "VPS72" 6944
"3178" "ALPPL2" NA
"3179" "SDHAF1" 644096
"3180" "SYNE3" 161176
"3181" "TSTD2" 158427
"3182" "CISD3" 284106
"3183" "MSRA" 4482
"3184" "ATP2A2" 488
"3185" "RP11-673C5.1" NA
"3186" "ARHGAP12" 94134
"3187" "KLRF1" 51348
"3188" "MAOA" 4128
"3189" "RP11-706O15.7" NA
"3190" "CTD-2184D3.5" NA
"3191" "SMURF2" 64750
"3192" "MDH2" 4191
"3193" "DAK" NA
"3194" "NDUFB5" 4711
"3195" "GPR64" NA
"3196" "BUB1" 699
"3197" "ZNRF3" 84133
"3198" "NFATC2IP" 84901
"3199" "ACOT1" 641371
"3200" "C7orf49" NA
"3201" "WDR37" 22884
"3202" "PUF60" 22827
"3203" "RP11-359J14.2" NA
"3204" "ATP2C2" 9914
"3205" "ZWILCH" 55055
"3206" "ABCA3" 21
"3207" "PTMA" 5757
"3208" "TCHP" 84260
"3209" "SEC24B" 10427
"3210" "ROCK1" 6093
"3211" "DYNLL2" 140735
"3212" "WASH6P" 653440
"3213" "ADCY1" 107
"3214" "GRAP" 10750
"3215" "CXCL16" 58191
"3216" "SMIM4" 440957
"3217" "INHBA" 3624
"3218" "LINC00936" NA
"3219" "PLCL1" 5334
"3220" "ANKRD27" 84079
"3221" "ABAT" 18
"3222" "MROH7" 374977
"3223" "RP1-68D18.4" NA
"3224" "AC007750.5" NA
"3225" "AIFM1" 9131
"3226" "PLOD1" 5351
"3227" "MYO3B" 140469
"3228" "HELZ2" 85441
"3229" "AC116366.6" NA
"3230" "SUB1P3" 106480442
"3231" "RP11-270C12.3" NA
"3232" "RP11-112J1.3" NA
"3233" "PACRG" 135138
"3234" "PITPNA" 5306
"3235" "GNG2" 54331
"3236" "TMEM63C" 57156
"3237" "CAMK1G" 57172
"3238" "FAM155A-IT1" 100874375
"3239" "ZNF503" 84858
"3240" "DEF8" 54849
"3241" "CENPQ" 55166
"3242" "PIEZO2" 63895
"3243" "EDA2R" 60401
"3244" "EYA2" 2139
"3245" "LYPLAL1" 127018
"3246" "RP11-797A18.4" NA
"3247" "AC093106.5" NA
"3248" "UHMK1" 127933
"3249" "GADD45GIP1" 90480
"3250" "RP11-283I3.6" NA
"3251" "DHCR7" 1717
"3252" "RP11-572P18.1" NA
"3253" "VGLL1" 51442
"3254" "SH3GL1P1" 6458
"3255" "HTR1E" 3354
"3256" "MROH1" 727957
"3257" "TMF1" 7110
"3258" "SERTAD1" 29950
"3259" "IER2" 9592
"3260" "CBFA2T2" 9139
"3261" "CRKL" 1399
"3262" "FBXL12" 54850
"3263" "SRSF3" 6428
"3264" "CKAP2L" 150468
"3265" "COL4A3" 1285
"3266" "AL356585.2" NA
"3267" "ZNF75D" 7626
"3268" "EPDR1" 54749
"3269" "AOC1" 26
"3270" "PNPLA8" 50640
"3271" "BCAS4" 55653
"3272" "CTC-498J12.1" NA
"3273" "CISD1" 55847
"3274" "SCNN1A" 6337
"3275" "GIMAP6" 474344
"3276" "SERPINB9" 5272
"3277" "HSPE1P4" 100287369
"3278" "WDR18" 57418
"3279" "PRSS16" 10279
"3280" "BAMBI" 25805
"3281" "ALDH8A1" 64577
"3282" "PIWIL1" 9271
"3283" "POLK" 51426
"3284" "BAIAP3" 8938
"3285" "NCLN" 56926
"3286" "SLC16A7" 9194
"3287" "B3GNT5" 84002
"3288" "NRTN" 4902
"3289" "ATP5D" NA
"3290" "CDR1" 1038
"3291" "RP5-1112D6.8" NA
"3292" "CLDN11" 5010
"3293" "LAMTOR2" 28956
"3294" "DOCK10" 55619
"3295" "NFYB" 4801
"3296" "PSMA1" 5682
"3297" "SPAG9" 9043
"3298" "KCTD1" 284252
"3299" "NOC3L" 64318
"3300" "RP4-800M22.1" NA
"3301" "RP11-737O24.3" NA
"3302" "AC009506.1" NA
"3303" "CTB-152G17.6" NA
"3304" "MAPK1" 5594
"3305" "ZFP92" 139735
"3306" "RXRG" 6258
"3307" "NHP2" 55651
"3308" "BTBD3" 22903
"3309" "MAMSTR" 284358
"3310" "INSIG1" 3638
"3311" "C11orf49" 79096
"3312" "AF001548.5" NA
"3313" "TRAPPC6A" 79090
"3314" "PODN" 127435
"3315" "RP11-166B2.1" NA
"3316" "LEPR" 3953
"3317" "LRG1" 116844
"3318" "ASCC2" 84164
"3319" "FAM117B" 150864
"3320" "IFT52" 51098
"3321" "ATAD2B" 54454
"3322" "HTRA1" 5654
"3323" "PPIF" 10105
"3324" "RFX5" 5993
"3325" "NDUFAF4" 29078
"3326" "SUMF1" 285362
"3327" "TTC18" NA
"3328" "CTA-246H3.11" NA
"3329" "RADIL" 55698
"3330" "EPS15" 2060
"3331" "NCKAP1" 10787
"3332" "PIWIL2" 55124
"3333" "SLAMF1" 6504
"3334" "ZNF780A" 284323
"3335" "KANK2" 25959
"3336" "RIBC2" 26150
"3337" "TBX19" 9095
"3338" "POLR3K" 51728
"3339" "ITPR3" 3710
"3340" "GPR174" 84636
"3341" "IL27RA" 9466
"3342" "LHX4" 89884
"3343" "CCDC117" 150275
"3344" "TMED10P2" 100129727
"3345" "NME2P1" 283458
"3346" "RP4-742J24.2" NA
"3347" "KIF5A" 3798
"3348" "FRYL" 285527
"3349" "CMTM4" 146223
"3350" "SFXN4" 119559
"3351" "WIBG" NA
"3352" "CLDN18" 51208
"3353" "NOS3" 4846
"3354" "ALOX12" 239
"3355" "CCDC174" 51244
"3356" "DKK2" 27123
"3357" "MAP7" 9053
"3358" "AC011718.1" NA
"3359" "MRPS11" 64963
"3360" "SPEN" 23013
"3361" "PKNOX2" 63876
"3362" "CACHD1" 57685
"3363" "RP11-390P2.4" NA
"3364" "TIMM9" 26520
"3365" "KRCC1" 51315
"3366" "FGF9" 2254
"3367" "PIWIL4" 143689
"3368" "SETD9" 133383
"3369" "PSMG3" 84262
"3370" "ACPP" 55
"3371" "BNC2" 54796
"3372" "PCAT1" 100750225
"3373" "ANXA2P1" 303
"3374" "SRRM4" 84530
"3375" "ERRFI1" 54206
"3376" "AASDHPPT" 60496
"3377" "NFKBIL1" 4795
"3378" "RPL30P4" 100131230
"3379" "FNIP2" 57600
"3380" "RPS28" 6234
"3381" "HIRA" 7290
"3382" "FBXL16" 146330
"3383" "MGST1" 4257
"3384" "UBAP1L" 390595
"3385" "F2" 2147
"3386" "LINGO1" 84894
"3387" "TAS2R5" 54429
"3388" "ELF2" 1998
"3389" "RANBP2" 5903
"3390" "OAZ2" 4947
"3391" "SIPA1" 6494
"3392" "FAM73A" NA
"3393" "RABL6" 55684
"3394" "GLYR1" 84656
"3395" "PAICS" 10606
"3396" "SNRPA1" 6627
"3397" "JDP2" 122953
"3398" "TIMM8B" 26521
"3399" "AC093724.2" NA
"3400" "CD3EAP" 10849
"3401" "MIR647" 693232
"3402" "ETF1P2" 6825
"3403" "RP11-761N21.2" NA
"3404" "RPSAP51" 100271267
"3405" "ZNF503-AS2" 100131213
"3406" "GAREML" NA
"3407" "SETMAR" 6419
"3408" "TMEM107" 84314
"3409" "RP11-778D9.4" NA
"3410" "UNG" 7374
"3411" "MYL5" 4636
"3412" "CTU2" 348180
"3413" "RGS17" 26575
"3414" "UPK1B" 7348
"3415" "XRCC6" 2547
"3416" "IL32" 9235
"3417" "FBXW2" 26190
"3418" "C4orf21" NA
"3419" "C2orf50" 130813
"3420" "FEZ1" 9638
"3421" "GP6" 51206
"3422" "PTPN13" 5783
"3423" "LLGL2" 3993
"3424" "CTD-2013N24.2" NA
"3425" "LAMP1" 3916
"3426" "AMIGO2" 347902
"3427" "LRRC19" 64922
"3428" "CCT6P3" 643180
"3429" "BUD13" 84811
"3430" "NPNT" 255743
"3431" "TBL3" 10607
"3432" "C1orf27" NA
"3433" "SNX4" 8723
"3434" "AMDHD2" 51005
"3435" "AC008753.6" NA
"3436" "MFSD10" 10227
"3437" "PSIP1" 11168
"3438" "ALDH4A1" 8659
"3439" "POLRMT" 5442
"3440" "ARMC5" 79798
"3441" "ZNF256" 10172
"3442" "NKX3-1" 4824
"3443" "PYGM" 5837
"3444" "MDH1" 4190
"3445" "GYG2" 8908
"3446" "CARKD" NA
"3447" "RP11-574K11.28" NA
"3448" "MAP2K3" 5606
"3449" "RP11-715J22.6" NA
"3450" "LPHN3" NA
"3451" "DCAF8" 50717
"3452" "ENPP7P4" 100421816
"3453" "CTC1" 80169
"3454" "SLX4IP" 128710
"3455" "DDAH2" 23564
"3456" "UNC13B" 10497
"3457" "TXNRD2" 10587
"3458" "TMEM261" NA
"3459" "RETSAT" 54884
"3460" "ZNF611" 81856
"3461" "MSI2" 124540
"3462" "C17orf85" NA
"3463" "NIT1" 4817
"3464" "HECTD4" 283450
"3465" "ZNF417" 147687
"3466" "BBS10" 79738
"3467" "TNFRSF10A" 8797
"3468" "RAB38" 23682
"3469" "TEP1" 7011
"3470" "SVILP1" NA
"3471" "PPP3R1" 5534
"3472" "RP4-575N6.2" NA
"3473" "ELL2" 22936
"3474" "PNPLA7" 375775
"3475" "GABRR2" 2570
"3476" "SRRM3" 222183
"3477" "LIPT2" 387787
"3478" "KLKP1" 606293
"3479" "RP1-20N2.6" NA
"3480" "C1orf95" NA
"3481" "SAT2" 112483
"3482" "AP1G2" 8906
"3483" "LINC01133" 100505633
"3484" "CENPE" 1062
"3485" "LEPRE1" NA
"3486" "ZNF571-AS1" 100507433
"3487" "AKR1C1" 1645
"3488" "EFR3A" 23167
"3489" "RP11-228B15.4" NA
"3490" "SLC5A1" 6523
"3491" "RP11-158H5.7" NA
"3492" "CTD-2184D3.1" NA
"3493" "FAM69C" NA
"3494" "ALKBH3" 221120
"3495" "KLRAP1" NA
"3496" "ATRIP" 84126
"3497" "ZNF28" 7576
"3498" "ZNF853" 54753
"3499" "ZRANB3" 84083
"3500" "WDR12" 55759
"3501" "C11orf1" 64776
"3502" "SMIM5" 643008
"3503" "SULT1A1" 6817
"3504" "FAM231D" NA
"3505" "RNF187" 149603
"3506" "HPRT1" 3251
"3507" "CNST" 163882
"3508" "F13A1" 2162
"3509" "SCAMP4" 113178
"3510" "GABRA3" 2556
"3511" "LPP" 4026
"3512" "NUDCD1" 84955
"3513" "TUBE1" 51175
"3514" "BRI3BP" 140707
"3515" "PRR11" 55771
"3516" "CASC15" 401237
"3517" "MIDN" 90007
"3518" "ZNF418" 147686
"3519" "RPLP1" 6176
"3520" "ROPN1L" 83853
"3521" "TREX1" 11277
"3522" "DGKI" 9162
"3523" "TMEM39B" 55116
"3524" "TIMM17A" 10440
"3525" "CCT8" 10694
"3526" "GALNT18" 374378
"3527" "ODAM" 54959
"3528" "MBTPS1" 8720
"3529" "RP1-60O19.1" NA
"3530" "RC3H2" 54542
"3531" "PTN" 5764
"3532" "SCAF11" 9169
"3533" "DLX6" 1750
"3534" "CIRBP-AS1" 148046
"3535" "PRCC" 5546
"3536" "NTHL1" 4913
"3537" "DUSP4" 1846
"3538" "EFHB" 151651
"3539" "TIMM50" 92609
"3540" "MOXD1" 26002
"3541" "COPS3" 8533
"3542" "PRKRA" 8575
"3543" "CYP27B1" 1594
"3544" "CAST" 831
"3545" "RUVBL2" 10856
"3546" "ZNF37BP" 100129482
"3547" "MRI1" 84245
"3548" "MFSD2A" 84879
"3549" "TRIM66" 9866
"3550" "SLC1A1" 6505
"3551" "BX322557.10" NA
"3552" "TYW1" 55253
"3553" "NPIPB5" 100132247
"3554" "CRTC3" 64784
"3555" "RAD54L" 8438
"3556" "MASP1" 5648
"3557" "FTCDNL1" 348751
"3558" "RP1-278E11.3" NA
"3559" "GADD45B" 4616
"3560" "MSX1" 4487
"3561" "TMEM59L" 25789
"3562" "GS1-124K5.11" 493754
"3563" "SPATA1" 100505741
"3564" "ZNF697" 90874
"3565" "SMC2" 10592
"3566" "DDX10" 1662
"3567" "RNF216P1" 441191
"3568" "RP11-482E14.1" NA
"3569" "TMEM43" 79188
"3570" "ZNF827" 152485
"3571" "KLK4" 9622
"3572" "LINC00174" 285908
"3573" "RP13-644M16.5" NA
"3574" "MVB12A" 93343
"3575" "PTGES3" 10728
"3576" "ANKS6" 203286
"3577" "RBM8B" 112846
"3578" "PIN1" 5300
"3579" "ARL11" 115761
"3580" "ANKRD29" 147463
"3581" "RBM48" 84060
"3582" "ANKRD20A7P" 653436
"3583" "FABP5P1" 387934
"3584" "NSL1" 25936
"3585" "TRIM4" 89122
"3586" "ARHGAP8" 23779
"3587" "INO80D" 54891
"3588" "ERBB2IP" NA
"3589" "SCOC" 60592
"3590" "CCDC112" 153733
"3591" "TMEM211" 255349
"3592" "PPM1F" 9647
"3593" "CAPN15" 6650
"3594" "PRPF19" 27339
"3595" "RP11-301G21.1" NA
"3596" "XBP1P1" 7495
"3597" "EPS8L3" 79574
"3598" "WIPI1" 55062
"3599" "FAM83E" 54854
"3600" "PLEKHO1" 51177
"3601" "SERAC1" 84947
"3602" "PYROXD1" 79912
"3603" "HOXA13" 3209
"3604" "CHRD" 8646
"3605" "SC22CB-1E7.1" NA
"3606" "LINC00472" 79940
"3607" "MIER1" 57708
"3608" "OR2A4" 79541
"3609" "SF3A3" 10946
"3610" "MAVS" 57506
"3611" "RP11-392P7.6" NA
"3612" "ANXA2" 302
"3613" "NPIPA7" 101059938
"3614" "AHCYL1" 10768
"3615" "AC019117.1" NA
"3616" "SNX18P3" 100418975
"3617" "UBAC1" 10422
"3618" "RP3-438O4.4" NA
"3619" "NPEPPS" 9520
"3620" "PBDC1" 51260
"3621" "TMA7" 51372
"3622" "IMPDH2" 3615
"3623" "ALG13" 79868
"3624" "CCDC82" 79780
"3625" "SLC20A2" 6575
"3626" "CSRP2" 1466
"3627" "DSTNP2" 171220
"3628" "PSMD4" 5710
"3629" "IGF2BP2" 10644
"3630" "TBC1D20" 128637
"3631" "BCL6" 604
"3632" "TNFRSF10B" 8795
"3633" "SYTL3" 94120
"3634" "TEF" 7008
"3635" "TBCAP1" 494540
"3636" "SCIN" 85477
"3637" "LURAP1L" 286343
"3638" "TSPAN17" 26262
"3639" "NPC2" 10577
"3640" "TSPYL5" 85453
"3641" "UBAP1" 51271
"3642" "RP11-95P13.2" NA
"3643" "DOK7" 285489
"3644" "EI24" 9538
"3645" "ZNF592" 9640
"3646" "RCOR1" 23186
"3647" "KIDINS220" 57498
"3648" "MMP10" 4319
"3649" "SNED1" 25992
"3650" "MNT" 4335
"3651" "GPS2" 2874
"3652" "ACTG2" 72
"3653" "RP11-274B18.4" NA
"3654" "POLR2K" 5440
"3655" "ARRDC2" 27106
"3656" "ABI1" 10006
"3657" "GYPC" 2995
"3658" "RP11-386M24.4" NA
"3659" "C5AR2" 27202
"3660" "PPP1R13L" 10848
"3661" "SERHL" 94009
"3662" "DOCK8" 81704
"3663" "POU5F1P4" 645682
"3664" "PTPN3" 5774
"3665" "ZNF410" 57862
"3666" "CFLAR" 8837
"3667" "ZNF385C" 201181
"3668" "RPL26" 6154
"3669" "LMO2" 4005
"3670" "CCL28" 56477
"3671" "THBS4" 7060
"3672" "PROSER2" 254427
"3673" "OCEL1" 79629
"3674" "ZBTB44" 29068
"3675" "HOXD-AS1" NA
"3676" "DBT" 1629
"3677" "GARNL3" 84253
"3678" "WIZ" 58525
"3679" "RP11-290F20.1" NA
"3680" "RP11-75C9.1" NA
"3681" "CSRP2BP" NA
"3682" "BCL2A1" 597
"3683" "HGS" 9146
"3684" "DFNA5" NA
"3685" "RCBTB1" 55213
"3686" "HSD17B3" 3293
"3687" "MYOCD" 93649
"3688" "CTD-2541M15.1" NA
"3689" "HMGN1P4" 100036575
"3690" "THAP6" 152815
"3691" "DNAAF3" 352909
"3692" "C11orf80" 79703
"3693" "GIT2" 9815
"3694" "NDNF" 79625
"3695" "CTD-2626G11.2" NA
"3696" "EPB41L5" 57669
"3697" "DNAJC10" 54431
"3698" "DHRS11" 79154
"3699" "DHODH" 1723
"3700" "RAB40C" 57799
"3701" "KIF13A" 63971
"3702" "DNAJA1" 3301
"3703" "GALK1" 2584
"3704" "CDK5R1" 8851
"3705" "RP11-129B22.1" NA
"3706" "NRG1" 3084
"3707" "AC009501.4" NA
"3708" "RP11-173M11.2" NA
"3709" "SLC22A5" 6584
"3710" "NADK" 65220
"3711" "C1QTNF4" 114900
"3712" "DNAJC27" 51277
"3713" "MB21D2" 151963
"3714" "SRSF1" 6426
"3715" "RRN3P2" 653390
"3716" "TSR3" 115939
"3717" "PSMD2" 5708
"3718" "C2CD5" 9847
"3719" "ALS2CR12" 130540
"3720" "SLC10A6" 345274
"3721" "C6orf57" NA
"3722" "IGSF5" 150084
"3723" "SERPINA6" 866
"3724" "PSMA7" 5688
"3725" "C21orf58" 54058
"3726" "DDX11-AS1" 100506660
"3727" "TMEM176B" 28959
"3728" "ANKRD45" 339416
"3729" "COQ2" 27235
"3730" "NUP98" 4928
"3731" "COL1A1" 1277
"3732" "PARP4" 143
"3733" "RP11-594C13.1" NA
"3734" "PDCD4-AS1" 282997
"3735" "IL2RA" 3559
"3736" "UBXN4" 23190
"3737" "LOXL2" 4017
"3738" "CISD2" 493856
"3739" "SLC18A2" 6571
"3740" "PLA1A" 51365
"3741" "LEPROT" 54741
"3742" "TRIM26" 7726
"3743" "ATP5J2" NA
"3744" "TBC1D2B" 23102
"3745" "TMX1" 81542
"3746" "NDUFB8" 4714
"3747" "SDHAF2" 54949
"3748" "PPP1R3D" 5509
"3749" "RNF10" 9921
"3750" "FKBP10" 60681
"3751" "BOD1L1" 259282
"3752" "MEGF8" 1954
"3753" "SLC38A5" 92745
"3754" "SIX2" 10736
"3755" "HAGHL" 84264
"3756" "SYDE2" 84144
"3757" "TM7SF3" 51768
"3758" "SCARA3" 51435
"3759" "RPL7AP34" 441154
"3760" "BMP2" 650
"3761" "YTHDC1" 91746
"3762" "SNX5" 27131
"3763" "ADAMTS7P4" 642935
"3764" "PLK1" 5347
"3765" "SLC10A3" 8273
"3766" "GLRX3" 10539
"3767" "FMN2" 56776
"3768" "YY1AP1" 55249
"3769" "C20orf112" NA
"3770" "RNF8" 9025
"3771" "RP5-901A4.1" NA
"3772" "TWSG1" 57045
"3773" "LSM10" 84967
"3774" "FPGS" 2356
"3775" "SLC34A2" 10568
"3776" "TOLLIP-AS1" 255512
"3777" "ZNF347" 84671
"3778" "PPP1R26-AS1" 100506599
"3779" "MICALL2" 79778
"3780" "RP11-356K23.1" NA
"3781" "POLR2J" 5439
"3782" "PPM1D" 8493
"3783" "RP13-1032I1.7" NA
"3784" "ARL4C" 10123
"3785" "RP1-159A19.3" NA
"3786" "RP11-742N3.1" NA
"3787" "COA6" 388753
"3788" "CTSH" 1512
"3789" "TRIM52" 84851
"3790" "CTD-2619J13.14" NA
"3791" "ACOT11" 26027
"3792" "KLHL24" 54800
"3793" "TPR" 7175
"3794" "TSPAN9" 10867
"3795" "STIM1" 6786
"3796" "BEX4" 56271
"3797" "MRPL13" 28998
"3798" "TXN2" 25828
"3799" "PRMT1" 3276
"3800" "SETDB2" 83852
"3801" "SWAP70" 23075
"3802" "TRDJ1" 28522
"3803" "PTPLA" NA
"3804" "CDH26" 60437
"3805" "ZNF343" 79175
"3806" "SUV420H1" NA
"3807" "IRX5" 10265
"3808" "MDN1" 23195
"3809" "THRAP3" 9967
"3810" "MIR600HG" 81571
"3811" "CDK14" 5218
"3812" "DPP4" 1803
"3813" "RP11-701H24.7" NA
"3814" "VPS52" 6293
"3815" "PAGR1" 79447
"3816" "IKBKE" 9641
"3817" "MAU2" 23383
"3818" "SMIM19" 114926
"3819" "NPM1P46" 729342
"3820" "SLC12A6" 9990
"3821" "PHF14" 9678
"3822" "ASH1L" 55870
"3823" "DENND3" 22898
"3824" "SYCP3" 50511
"3825" "UBXN11" 91544
"3826" "MGA" 23269
"3827" "RP11-396K3.1" NA
"3828" "RP11-182I10.3" NA
"3829" "LDB3" 11155
"3830" "KLLN" 100144748
"3831" "GNG11" 2791
"3832" "FAM46A" NA
"3833" "OTUB1" 55611
"3834" "GNPDA1" 10007
"3835" "KIF26B" 55083
"3836" "FUCA2" 2519
"3837" "PDAP1" 11333
"3838" "FAM83B" 222584
"3839" "PLEKHB1" 58473
"3840" "RNVU1-20" 101954268
"3841" "C1orf101" NA
"3842" "KLHDC8B" 200942
"3843" "RGL3" 57139
"3844" "IL6R" 3570
"3845" "C1orf134" 574037
"3846" "AC025335.1" NA
"3847" "RYR3" 6263
"3848" "PIGM" 93183
"3849" "ZNF746" 155061
"3850" "GAREM" NA
"3851" "CALCOCO2" 10241
"3852" "HHIPL1" 84439
"3853" "RP5-837I24.1" NA
"3854" "SPG11" 80208
"3855" "TBC1D7" 51256
"3856" "ALDH3A2" 224
"3857" "BCL11A" 53335
"3858" "ITPA" 3704
"3859" "SLMAP" 7871
"3860" "BTF3P9" 503543
"3861" "RSPH4A" 345895
"3862" "SPR" 6697
"3863" "RP11-677M14.3" NA
"3864" "PIGU" 128869
"3865" "KIAA1191" 57179
"3866" "AL049840.1" NA
"3867" "RAB17" 64284
"3868" "PLIN2" 123
"3869" "SNAP23" 8773
"3870" "AGO1" 26523
"3871" "DYX1C1" NA
"3872" "RP11-641D5.1" NA
"3873" "CD160" 11126
"3874" "RP11-1407O15.2" NA
"3875" "RP11-392O17.1" NA
"3876" "SUMO1" 7341
"3877" "PIGT" 51604
"3878" "CDC42EP1" 11135
"3879" "STOX1" 219736
"3880" "SLC7A1" 6541
"3881" "C1orf63" NA
"3882" "ATP2C1" 27032
"3883" "ANGPTL2" 23452
"3884" "LGALS1" 3956
"3885" "AC002398.11" NA
"3886" "ATP6V1E1P1" 343515
"3887" "RP11-400F19.18" NA
"3888" "FAR2P1" 440905
"3889" "SLC3A2" 6520
"3890" "SHC1" 6464
"3891" "POU5F1P3" 642559
"3892" "GPATCH2L" 55668
"3893" "ZBTB16" 7704
"3894" "CALHM2" 51063
"3895" "KLRC4-KLRK1" 100528032
"3896" "THBS1" 7057
"3897" "FGA" 2243
"3898" "NUDC" 10726
"3899" "CLDN1" 9076
"3900" "AAED1" NA
"3901" "SMS" 6611
"3902" "PLEKHG6" 55200
"3903" "COPS4" 51138
"3904" "RHOB" 388
"3905" "LLGL1" 3996
"3906" "ISG20L2" 81875
"3907" "RP1-92O14.6" NA
"3908" "CD40" 958
"3909" "MAP3K5" 4217
"3910" "RP11-44N21.1" NA
"3911" "REC8" 9985
